Bagiez Fuseblast
Jaxxeez Haggleboot
Kwyzables Rocketdigger
Katee Copperracket
Zeexnaald Shadowbutton
Kixemlex Groundnozzle
Wizvimo Loosenozzle
Jixzmo Fizwrench
Kaymo Groundsnipe
Zaxgalax Hardblast
Gizdet Steamtwister
Kwixevbit Fizblast
Fixiz Fizzletweak
Wizbles Greasyracket
Kwyald Fastblade
Fixdle Gigagrinder
Kibile Saltblade
Zeemimex Rustblaster
Noxdix Loosebolt
Kizeel Grapplepot
Fyzzey Shadowtongue
Pixileex Fizzgrubber
Fyzebnex Hardfingers
Puzzmitwyzz Sharpwizzle
Ypnix Shadowbuttons
Greezeliz Shadowfingers
Fyzyni Sparkfingers
Lylvizi Cogwell
Guitwyx Sharpblast
Ypbels Hardbutton
